date,symbol,action,shares,price,value,profit,pnl_pct
2024-07-11 00:00:00-04:00,TSLA,BUY,8,241.02999877929688,1928.239990234375,,
2024-07-11 00:00:00-04:00,SPY,BUY,3,549.6342163085938,1648.9026489257812,,
2024-07-12 00:00:00-04:00,AAPL,SELL,8,229.20672607421875,1833.65380859375,23.6224365234375,1.3050843696934478
2024-07-12 00:00:00-04:00,TSLA,SELL,8,248.22999572753906,1985.8399658203125,57.5999755859375,2.9871787680814723
2024-07-12 00:00:00-04:00,SPY,SELL,3,553.1010131835938,1659.3030395507812,10.400390625,0.6307461893990888
2024-07-17 00:00:00-04:00,AAPL,BUY,8,227.55633544921875,1820.45068359375,,
2024-07-17 00:00:00-04:00,NVDA,SELL,15,117.95274353027344,1769.2911529541016,-141.1054229736328,-7.386184876567245
2024-07-17 00:00:00-04:00,TSLA,BUY,8,248.5,1988.0,,
2024-07-17 00:00:00-04:00,SPY,BUY,3,550.088623046875,1650.265869140625,,
2024-07-18 00:00:00-04:00,AAPL,SELL,8,222.8834991455078,1783.0679931640625,-37.3826904296875,-2.0534854784360523
2024-07-18 00:00:00-04:00,TSLA,SELL,8,249.22999572753906,1993.8399658203125,5.8399658203125,0.2937608561525403
2024-07-22 00:00:00-04:00,MSFT,BUY,4,438.848388671875,1755.3935546875,,
2024-07-23 00:00:00-04:00,MSFT,SELL,4,440.7407531738281,1762.9630126953125,7.5694580078125,0.43121145042372194
2024-07-24 00:00:00-04:00,SPY,SELL,3,534.57177734375,1603.71533203125,-46.550537109375,-2.82079015144488
2024-07-25 00:00:00-04:00,TSLA,BUY,9,220.25,1982.25,,
2024-07-26 00:00:00-04:00,MSFT,BUY,4,421.34161376953125,1685.366455078125,,
2024-07-29 00:00:00-04:00,MSFT,SELL,4,422.78814697265625,1691.152587890625,5.7861328125,0.3433160067394236
2024-07-29 00:00:00-04:00,TSLA,SELL,9,232.10000610351562,2088.9000549316406,106.65005493164062,5.380252487407775
2024-07-31 00:00:00-04:00,AAPL,BUY,9,220.795654296875,1987.160888671875,,
2024-08-01 00:00:00-04:00,AAPL,SELL,9,217.09716796875,1953.87451171875,-33.286376953125,-1.6750720660254164
2024-08-06 00:00:00-04:00,MSFT,BUY,5,395.9186706542969,1979.5933532714844,,
2024-08-06 00:00:00-04:00,NVDA,BUY,19,104.21707916259766,1980.1245040893555,,
2024-08-07 00:00:00-04:00,AAPL,BUY,9,208.60655212402344,1877.458969116211,,
2024-08-07 00:00:00-04:00,MSFT,SELL,5,394.74957275390625,1973.7478637695312,-5.845489501953125,-0.29528738780077457
2024-08-07 00:00:00-04:00,NVDA,SELL,19,98.87876892089844,1878.6966094970703,-101.42789459228516,-5.122298844482564
2024-08-08 00:00:00-04:00,AAPL,SELL,9,212.0763702392578,1908.6873321533203,31.228363037109375,1.6633313191291588
2024-08-08 00:00:00-04:00,MSFT,BUY,5,398.97021484375,1994.85107421875,,
2024-08-08 00:00:00-04:00,TSLA,BUY,10,198.83999633789062,1988.3999633789062,,
2024-08-09 00:00:00-04:00,MSFT,SELL,5,402.26947021484375,2011.3473510742188,16.49627685546875,0.8269427762635985
2024-08-09 00:00:00-04:00,TSLA,SELL,10,200.0,2000.0,11.60003662109375,0.5833854775063313
2024-08-12 00:00:00-04:00,AAPL,BUY,9,216.5222930908203,1948.7006378173828,,
2024-08-13 00:00:00-04:00,AAPL,SELL,9,220.2449951171875,1982.2049560546875,33.50431823730469,1.7193158141945688
2024-08-13 00:00:00-04:00,MSFT,BUY,4,410.1856689453125,1640.74267578125,,
2024-08-13 00:00:00-04:00,SPY,BUY,3,535.371826171875,1606.115478515625,,
2024-08-14 00:00:00-04:00,AAPL,BUY,9,220.69287109375,1986.23583984375,,
2024-08-14 00:00:00-04:00,MSFT,SELL,4,413.0093078613281,1652.0372314453125,11.2945556640625,0.6883806845997058
2024-08-14 00:00:00-04:00,SPY,SELL,3,537.060791015625,1611.182373046875,5.06689453125,0.315475107427072
2024-08-15 00:00:00-04:00,AAPL,SELL,9,223.67898559570312,2013.1108703613281,26.875030517578125,1.3530634166631634
2024-08-15 00:00:00-04:00,MSFT,BUY,4,417.89263916015625,1671.570556640625,,
2024-08-15 00:00:00-04:00,NVDA,BUY,16,122.82120513916016,1965.1392822265625,,
